source,signal_date,code,name,signal,score,tier,stars,regime,sentiment_level,position_pct,stop_loss_pct,theme,cluster,pool,signal_3d,market_panic,triggers,cautions,note,close_t,close_t1,close_t3,close_t5,close_t10,ret_1d,ret_3d,ret_5d,ret_10d,max_gain_10d,max_drawdown_10d,ret_csi300_1d,ret_csi300_3d,ret_csi300_5d,ret_csi300_10d,excess_1d,excess_3d,excess_5d,excess_10d,hit_stop_10d,review_status
tail,2026-04-28,159326,电网设备ETF,TAIL_1STAR,31.0,,1,,,,,,,,,False,今日下跌-2.0%（恐惧情绪）; MA60趋势向上（+0.90%/5日），回调低吸; 触及近期支撑低点区域,连续3日调整，注意是否止跌企稳,market_panic=False,1.943,1.965,2.019,2.062,2.042,0.011323,0.039115,0.061245,0.050952,0.134843,-0.009264,0.010958,0.024984,0.023896,0.021306,0.000365,0.014131,0.03735,0.029646,,complete
tail,2026-04-29,600036,招商银行,TAIL_2STAR,67.0,,2,,,,,,,,,False,今日下跌-2.8%（恐惧情绪）; 跌破MA20下方（-2.5%，或超跌机会）; MA60长期支撑附近（-1.9%）; RSI(6)=16（极度超卖）; MA60温和上行（+0.27%/5日）; 触及近期支撑低点区域,放量下跌3.0x（主力出货？谨慎）,market_panic=False,38.5,38.27,37.95,37.97,37.47,-0.005974,-0.014286,-0.013766,-0.026753,0.00026,-0.02987,-0.000632,0.018743,0.029414,0.004817,-0.005342,-0.033029,-0.04318,-0.03157,,complete
tail,2026-04-29,159567,港股创新药ETF,TAIL_2STAR,55.0,,2,,,,,,,,,False,回踩MA5支撑（偏离-0.8%）; MA60长期支撑附近（-1.2%）; RSI(6)=13（极度超卖）; 量能收缩0.7x（卖压减弱）; 触及近期支撑低点区域,MA60偏弱（-0.36%/5日），中期趋势存隐患; 连续3日调整，注意是否止跌企稳,market_panic=False,0.754,0.757,0.76,0.751,0.684,0.003979,0.007958,-0.003979,-0.092838,0.02122,-0.098143,-0.000632,0.018743,0.029414,0.004817,0.004611,-0.010785,-0.033392,-0.097655,,complete
tail,2026-04-29,515880,通信ETF,TAIL_2STAR,52.0,,2,,,,,,,,,False,RSI(6)=15（极度超卖）; 量能收缩0.8x（卖压减弱）; MA60趋势向上（+2.34%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.328,1.321,1.414,1.483,1.517,-0.005271,0.064759,0.116717,0.142319,0.197289,-0.019578,-0.000632,0.018743,0.029414,0.004817,-0.004639,0.046016,0.087303,0.137503,,complete
tail,2026-04-29,600900,长江电力,TAIL_1STAR,43.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.4%）; MA60长期支撑附近（+0.4%）; MA60温和上行（+0.20%/5日）; 触及近期支撑低点区域,,market_panic=False,26.77,27.32,27.05,27.01,26.89,0.020545,0.010459,0.008965,0.004483,0.024281,-0.001868,-0.000632,0.018743,0.029414,0.004817,0.021177,-0.008283,-0.020448,-0.000334,,complete
tail,2026-04-29,159611,电力ETF,TAIL_1STAR,37.0,,1,,,,,,,,,False,回踩MA5支撑（偏离-0.1%）; MA60趋势向上（+0.60%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.124,1.108,1.149,1.165,1.168,-0.014235,0.022242,0.036477,0.039146,0.089858,-0.017794,-0.000632,0.018743,0.029414,0.004817,-0.013603,0.003499,0.007063,0.034329,,complete
tail,2026-04-29,159206,卫星ETF,TAIL_1STAR,36.0,,1,,,,,,,,,False,MA60长期支撑附近（+0.9%）; RSI(6)=13（极度超卖）; 量能收缩0.7x（卖压减弱）; 触及近期支撑低点区域,MA60趋势下行（-0.72%/5日），谨防下跌趋势接刀,market_panic=False,1.784,1.84,1.93,2.031,1.867,0.03139,0.081839,0.138453,0.046525,0.145179,-0.008969,-0.000632,0.018743,0.029414,0.004817,0.032022,0.063096,0.109039,0.041708,,complete
tail,2026-04-29,518880,黄金ETF,TAIL_1STAR,30.0,,1,,,,,,,,,False,跌破MA20下方（-2.9%，或超跌机会）; RSI(6)=14（极度超卖）; 触及近期支撑低点区域,MA60趋势下行（-0.54%/5日），谨防下跌趋势接刀,market_panic=False,9.637,9.678,9.909,9.774,9.513,0.004254,0.028225,0.014216,-0.012867,0.030715,-0.020961,-0.000632,0.018743,0.029414,0.004817,0.004886,0.009482,-0.015198,-0.017684,,complete
tail,2026-04-30,159611,电力ETF,TAIL_3STAR,78.0,,3,,,,,,,,,False,今日跌-1.4%（轻度回调）; 回踩MA20支撑（偏离+0.7%）; MA60长期支撑附近（+0.8%）; RSI(6)=16（极度超卖）; MA60趋势向上（+0.57%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.108,1.135,1.147,1.177,1.215,0.024368,0.035199,0.062274,0.09657,0.105596,0.002708,0.014515,0.013438,0.029276,0.009479,0.009853,0.021761,0.032998,0.087091,,complete
tail,2026-04-30,159326,电网设备ETF,TAIL_2STAR,65.0,,2,,,,,,,,,False,今日跌-1.2%（轻度回调）; 回踩MA5支撑（偏离-1.1%）; RSI(6)=18（极度超卖）; MA60趋势向上（+0.86%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.941,2.019,2.062,2.135,2.134,0.040185,0.062339,0.099948,0.099433,0.136012,0.006182,0.014515,0.013438,0.029276,0.009479,0.02567,0.048901,0.070672,0.089954,,complete
tail,2026-04-30,515880,通信ETF,TAIL_2STAR,59.0,,2,,,,,,,,,False,回踩MA5支撑（偏离-0.8%）; RSI(6)=18（极度超卖）; MA60趋势向上（+2.14%/5日），回调低吸; 触及近期支撑低点区域,,market_panic=False,1.321,1.352,1.43,1.501,1.511,0.023467,0.082513,0.13626,0.14383,0.203634,0.008327,0.014515,0.013438,0.029276,0.009479,0.008952,0.069075,0.106984,0.134351,,complete
tail,2026-04-30,600036,招商银行,TAIL_2STAR,55.0,,2,,,,,,,,,False,跌破MA20下方（-2.9%，或超跌机会）; MA60长期支撑附近（-2.5%）; RSI(6)=11（极度超卖）; MA60温和上行（+0.23%/5日）; 触及近期支撑低点区域,,market_panic=False,38.27,38.0,37.94,37.9,37.37,-0.007055,-0.008623,-0.009668,-0.023517,0.00209,-0.024301,0.014515,0.013438,0.029276,0.009479,-0.021571,-0.022061,-0.038944,-0.032996,,complete
tail,2026-04-30,515450,红利低波50,TAIL_1STAR,43.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.8%）; MA60长期支撑附近（+0.9%）; MA60温和上行（+0.23%/5日）; 触及近期支撑低点区域,,market_panic=False,1.441,1.436,1.429,1.437,1.437,-0.00347,-0.008328,-0.002776,-0.002776,0.001388,-0.017349,0.014515,0.013438,0.029276,0.009479,-0.017985,-0.021765,-0.032052,-0.012255,,complete
tail,2026-04-30,518880,黄金ETF,TAIL_1STAR,35.0,,1,,,,,,,,,False,回踩MA5支撑（偏离-1.1%）; RSI(6)=18（极度超卖）; 触及近期支撑低点区域,MA60趋势下行（-0.71%/5日），谨防下跌趋势接刀,market_panic=False,9.678,9.791,9.88,9.806,9.515,0.011676,0.020872,0.013226,-0.016842,0.026348,-0.025108,0.014515,0.013438,0.029276,0.009479,-0.002839,0.007434,-0.01605,-0.026322,,complete
tail,2026-04-30,512400,有色金属ETF,TAIL_1STAR,32.0,,1,,,,,,,,,False,今日跌-1.0%（轻度回调）; 回踩MA20支撑（偏离+0.6%）; MA60长期支撑附近（-2.1%）; 触及近期支撑低点区域,MA60趋势下行（-0.82%/5日），谨防下跌趋势接刀,market_panic=False,2.119,2.199,2.206,2.188,1.981,0.037754,0.041057,0.032563,-0.065125,0.06135,-0.08353,0.014515,0.013438,0.029276,0.009479,0.023238,0.027619,0.003286,-0.074604,,complete
tail,2026-05-01,159611,电力ETF,TAIL_2STAR,66.0,,2,,,,,,,,,False,今日跌-1.4%（轻度回调）; 回踩MA20支撑（偏离+0.7%）; MA60长期支撑附近（+0.8%）; RSI(6)=16（极度超卖）; MA60趋势向上（+0.57%/5日），回调低吸; 触及近期支撑低点区域,主力今日净流出1.54亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,159326,电网设备ETF,TAIL_2STAR,53.0,,2,,,,,,,,,False,今日跌-1.2%（轻度回调）; 回踩MA5支撑（偏离-1.1%）; RSI(6)=18（极度超卖）; MA60趋势向上（+0.85%/5日），回调低吸; 触及近期支撑低点区域,主力今日净流出2.89亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,515880,通信ETF,TAIL_1STAR,47.0,,1,,,,,,,,,False,回踩MA5支撑（偏离-1.0%）; RSI(6)=16（极度超卖）; MA60趋势向上（+2.14%/5日），回调低吸; 触及近期支撑低点区域,主力今日净流出1.88亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,515450,红利低波50,TAIL_1STAR,46.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.8%）; MA60长期支撑附近（+0.9%）; MA60温和上行（+0.23%/5日）; 触及近期支撑低点区域,,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,600036,招商银行,TAIL_1STAR,43.0,,1,,,,,,,,,False,跌破MA20下方（-2.9%，或超跌机会）; MA60长期支撑附近（-2.5%）; RSI(6)=11（极度超卖）; MA60温和上行（+0.23%/5日）; 触及近期支撑低点区域,主力今日净流出3.17亿（资金撤离，慎买）,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-01,159567,港股创新药ETF,TAIL_1STAR,32.0,,1,,,,,,,,,False,回踩MA5支撑（偏离-0.4%）; MA60长期支撑附近（-0.7%）; RSI(6)=36（偏低区间）; 触及近期支撑低点区域,MA60偏弱（-0.35%/5日），中期趋势存隐患; 主力今日净流出0.76亿，需观察,market_panic=False,,,,,,,,,,,,,,,,,,,,,missing_price
tail,2026-05-06,159567,港股创新药ETF,TAIL_2STAR,56.0,,2,,,,,,,,,False,今日跌-1.3%（轻度回调）; 回踩MA5支撑（偏离-1.2%）; MA60长期支撑附近（-1.9%）; RSI(6)=11（极度超卖）; 触及近期支撑低点区域,MA60偏弱（-0.40%/5日），中期趋势存隐患,market_panic=False,0.746,0.76,0.751,0.732,0.675,0.018767,0.006702,-0.018767,-0.095174,0.02815,-0.100536,0.004802,0.015327,0.024861,-0.005411,0.013965,-0.008624,-0.043628,-0.089763,,complete
tail,2026-05-06,600036,招商银行,TAIL_1STAR,47.0,,1,,,,,,,,,False,跌破MA20下方（-3.4%，或超跌机会）; MA60长期支撑附近（-3.2%）; RSI(6)=12（极度超卖）; 触及近期支撑低点区域,连续3日调整，注意是否止跌企稳,market_panic=False,38.0,37.95,37.97,37.88,37.17,-0.001316,-0.000789,-0.003158,-0.021842,0.004737,-0.021842,0.004802,0.015327,0.024861,-0.005411,-0.006118,-0.016116,-0.028019,-0.016431,,complete
tail,2026-05-06,515450,红利低波50,TAIL_1STAR,43.0,,1,,,,,,,,,False,回踩MA20支撑（偏离+0.4%）; MA60长期支撑附近（+0.3%）; MA60温和上行（+0.22%/5日）; 触及近期支撑低点区域,,market_panic=False,1.436,1.431,1.437,1.432,1.422,-0.003482,0.000696,-0.002786,-0.009749,0.004875,-0.013928,0.004802,0.015327,0.024861,-0.005411,-0.008284,-0.01463,-0.027647,-0.004338,,complete
tail,2026-05-07,600036,招商银行,TAIL_2STAR,60.0,,2,,,,,,,,,False,回踩MA5支撑（偏离-1.3%）; MA60长期支撑附近（-3.3%）; RSI(6)=12（极度超卖）; 量能收缩0.7x（卖压减弱）; 触及近期支撑低点区域,连续4日调整，注意是否止跌企稳,market_panic=False,37.95,37.94,37.9,37.81,37.15,-0.000264,-0.001318,-0.003689,-0.02108,0.006061,-0.022134,-0.005836,0.009701,0.002875,-0.023959,0.005573,-0.011019,-0.006564,0.002878,,complete
